Driver,QualiPosition,AvgFinishingPosition,AvgQualifyingPosition,PredictedPosition
VER,1.0,4.3271076997957705,2.588655308768091,1
NOR,2.0,6.908434361576576,7.111271198511861,2
PIA,4.0,4.0,4.0,3
RUS,5.0,12.17491860135049,11.451304659337108,4
ANT,3.0,3.0,3.0,5
OCO,9.0,10.996440137213025,11.518001233573589,6
SAI,6.0,7.035954437833695,6.924382491147197,7
HAM,12.0,3.849629173894382,3.2735953246356932,8
ALB,7.0,14.25,16.0,9
TSU,10.0,13.031447745626089,13.52002590536534,10
HAD,11.0,11.0,11.0,11
LEC,8.0,7.152090717450474,5.473180130173215,12
ALO,17.0,10.529275924130372,10.558843925308382,13
STR,19.0,11.939087551470942,13.939814544715148,14
BOR,13.0,13.0,13.0,15
GAS,18.0,10.842924591513812,7.812392307331695,16
HUL,16.0,14.5,17.5,17
DOO,14.0,14.0,14.0,18
LAW,15.0,15.0,15.0,19
BEA,20.0,20.0,20.0,20
